task,type,result,fold,params
country211,classification,0.013333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/country211.json'}
country211,classification,0.013333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/DTD.json'}
country211,classification,0.02,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FashionMNIST.json'}
country211,classification,0.006666666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FGVCAircraft.json'}
country211,classification,0.013333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Flowers102.json'}
country211,classification,0.013333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Food101.json'}
country211,classification,0.02,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/GTSRB.json'}
country211,classification,0.006666666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/KMNIST.json'}
country211,classification,0.006666666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/LFWPeople.json'}
country211,classification,0.013333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Omniglot.json'}
country211,classification,0.013333333333333334,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/default.json'}
DTD,classification,0.2866666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/country211.json'}
DTD,classification,0.29333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/DTD.json'}
DTD,classification,0.35333333333333333,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FashionMNIST.json'}
DTD,classification,0.32666666666666666,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/FGVCAircraft.json'}
DTD,classification,0.2866666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Flowers102.json'}
DTD,classification,0.2866666666666667,0,{'_modeljson': '/home/azureuser/cloudfiles/code/Users/xiaoyuz/oneshot_flaml_deeplearning/default/result_dnn/Food101.json'}
